2008-08-14 00:05:11 Notice: Notice (8): Undefined variable: schools in [APP/views/users/edit.ctp, line 14]
2008-08-14 01:00:06 Notice: Notice (8): Undefined variable: book in [APP/views/active_listings/edit.ctp, line 4]
2008-08-14 01:00:10 Notice: Notice (8): Undefined variable: book in [APP/views/active_listings/edit.ctp, line 13]
2008-08-14 01:00:14 Notice: Notice (8): Undefined variable: isbn in [APP/views/active_listings/edit.ctp, line 14]
2008-08-14 01:00:18 Notice: Notice (8): Undefined variable: conditions in [APP/views/active_listings/edit.ctp, line 15]
2008-08-14 01:00:20 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 19]
2008-08-14 01:00:23 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 22]
2008-08-14 01:00:25 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 25]
2008-08-14 01:00:27 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 28]
2008-08-14 01:00:29 Notice: Notice (8): Undefined variable: book in [APP/views/active_listings/edit.ctp, line 31]
2008-08-14 01:00:32 Notice: Notice (8): Undefined variable: book in [APP/views/active_listings/edit.ctp, line 34]
2008-08-14 01:00:35 Notice: Notice (8): Undefined variable: payment_email in [APP/views/active_listings/edit.ctp, line 38]
2008-08-14 01:01:21 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 314]
2008-08-14 01:01:21 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 315]
2008-08-14 01:01:21 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 329]
2008-08-14 01:06:54 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 22]
2008-08-14 01:06:55 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 26]
2008-08-14 01:06:56 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 27]
2008-08-14 01:06:57 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 28]
2008-08-14 01:06:58 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 29]
2008-08-14 01:06:59 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 30]
2008-08-14 01:07:00 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 31]
2008-08-14 01:07:01 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/book_info.ctp, line 32]
2008-08-14 01:07:02 Notice: Notice (8): Undefined index:  Book in [APP/views/active_listings/edit.ctp, line 13]
